num_vehicles,distance,fitness
8.0,611.0515837551901,800.6110515837552
5.0,499.95360957200296,500.499953609572
8.0,732.3278259210737,800.7323278259211
8.0,759.5935738097802,800.7595935738098
9.0,811.7330910324523,900.8117330910325
5.0,569.2656014089389,500.5692656014089
7.0,697.7067357403547,700.6977067357403
7.0,695.7724780392616,700.6957724780393
6.0,639.3534302078124,600.6393534302078
8.0,726.6381434178995,800.7266381434179
5.0,750.9398179311715,500.75093981793117
7.0,574.279055998906,700.5742790559989
8.0,775.9020740769977,800.775902074077
8.0,679.1853174971346,800.6791853174972
7.0,701.8114722716359,700.7018114722716
7.0,739.0626102071492,700.7390626102072
6.0,636.8975817626883,600.6368975817627
6.0,662.3723331850474,600.6623723331851
5.0,539.4326974207269,500.53943269742075
8.0,640.1020701703575,800.6401020701703
8.0,746.7196317954701,800.7467196317955
7.0,741.1403564039908,700.741140356404
7.0,669.7240264423061,700.6697240264423
7.0,725.9306129161549,700.7259306129162
6.0,694.2834391583244,600.6942834391583
7.0,762.4629156456833,700.7624629156456
8.0,717.4097749377518,800.7174097749378
7.0,568.7111359254677,700.5687111359255
8.0,704.3256107906313,800.7043256107906
6.0,606.2751459631714,600.6062751459632
7.0,656.723174200013,700.6567231742
6.0,706.047672185832,600.7060476721858
7.0,738.107152268145,700.7381071522682
5.0,634.3132167626372,500.6343132167626
7.0,717.6679811388238,700.7176679811388
7.0,687.3792752867798,700.6873792752867
7.0,682.4923653423584,700.6824923653423
8.0,784.203449849181,800.7842034498492
6.0,637.5631746199532,600.6375631746199
7.0,761.5167417752004,700.7615167417752
8.0,683.9320917625172,800.6839320917625
6.0,617.8498350112573,600.6178498350113
8.0,721.029500187931,800.7210295001879
6.0,546.0311079066721,600.5460311079066
6.0,647.7734780346359,600.6477734780347
9.0,832.0692405626348,900.8320692405626
6.0,581.7424723699814,600.58174247237
7.0,695.5033390163057,700.6955033390163
8.0,699.2769705437619,800.6992769705438
8.0,780.6759563015197,800.7806759563015
7.0,683.8705160038106,700.6838705160038
7.0,697.5488739285278,700.6975488739286
9.0,834.5984454933609,900.8345984454934
7.0,636.3182158447238,700.6363182158448
7.0,719.5845902492016,700.7195845902492
8.0,574.8082474292592,800.5748082474292
7.0,728.9044246668001,700.7289044246668
7.0,738.7830486807002,700.7387830486807
8.0,730.9904174226931,800.7309904174227
8.0,767.821198219482,800.7678211982195
8.0,803.6754466037661,800.8036754466037
8.0,641.1838918316806,800.6411838918317
6.0,685.7989246307716,600.6857989246307
7.0,678.6598342099987,700.67865983421
7.0,773.4522573265818,700.7734522573265
6.0,638.1179417906976,600.6381179417907
6.0,635.3187831095732,600.6353187831096
10.0,816.9327028373332,1000.8169327028373
7.0,686.0824307500638,700.68608243075
8.0,727.6313242059838,800.727631324206
8.0,786.1702349027956,800.7861702349028
7.0,671.1342050052625,700.6711342050053
7.0,717.2504650884609,700.7172504650885
6.0,696.426013765822,600.6964260137659
7.0,676.4300368553502,700.6764300368553
8.0,593.8036320914782,800.5938036320915
8.0,701.0008331267642,800.7010008331267
10.0,847.7843023423102,1000.8477843023423
7.0,678.5162852356673,700.6785162852357
8.0,720.0592655133491,800.7200592655133
7.0,674.9951152210481,700.674995115221
8.0,747.44172595928,800.7474417259593
8.0,727.5131700605185,800.7275131700605
6.0,604.3814481735672,600.6043814481735
6.0,695.6379374866574,600.6956379374867
7.0,648.1665508145157,700.6481665508145
8.0,643.5822426353693,800.6435822426354
7.0,679.4476131443648,700.6794476131444
7.0,609.8608734447103,700.6098608734447
7.0,729.3065752767515,700.7293065752767
7.0,717.6582469755872,700.7176582469756
6.0,628.8192480851966,600.6288192480852
7.0,688.6444921810028,700.688644492181
7.0,777.0291723060959,700.7770291723061
7.0,661.2305727537821,700.6612305727538
7.0,710.0892977999193,700.7100892977999
6.0,633.7974878080333,600.633797487808
6.0,631.1265346720336,600.631126534672
6.0,548.3493047497914,600.5483493047498
7.0,761.8616226153503,700.7618616226154
6.0,719.5908196992984,600.7195908196993
8.0,778.0297622094254,800.7780297622094
6.0,610.4419391448657,600.6104419391448
6.0,684.3820457146635,600.6843820457146
7.0,691.9807680717497,700.6919807680717
6.0,646.6189377188082,600.6466189377188
6.0,620.0051564605632,600.6200051564606
8.0,726.8885293732635,800.7268885293732
7.0,728.868596484091,700.7288685964841
5.0,604.9485133986234,500.6049485133986
8.0,735.6896044780657,800.735689604478
9.0,793.7330779790101,900.793733077979
6.0,696.7668147386483,600.6967668147387
8.0,714.1048910104033,800.7141048910104
6.0,752.1306089047736,600.7521306089047
6.0,687.7118873424611,600.6877118873425
7.0,713.4665075604148,700.7134665075604
7.0,664.0967171214171,700.6640967171214
8.0,714.3666826468198,800.7143666826469
7.0,691.3086454839795,700.691308645484
7.0,746.3086422825527,700.7463086422825
6.0,747.1076608940965,600.7471076608941
8.0,750.7290380517576,800.7507290380518
8.0,662.0751596667785,800.6620751596668
5.0,600.9780567196425,500.60097805671967
8.0,756.49350870126,800.7564935087013
7.0,632.7746827868275,700.6327746827868
6.0,637.9992772621574,600.6379992772621
6.0,625.710810980801,600.6257108109808
6.0,675.0293051307729,600.6750293051308
8.0,686.6708935575944,800.6866708935576
6.0,636.878533550753,600.6368785335508
8.0,659.6847426095975,800.6596847426096
8.0,651.6970587990681,800.6516970587991
9.0,665.2799344089227,900.6652799344089
8.0,756.8542896914802,800.7568542896914
8.0,694.1824436943928,800.6941824436944
8.0,680.9978959159236,800.6809978959159
6.0,695.9640318916852,600.6959640318917
8.0,754.7785580063021,800.7547785580063
7.0,699.1357485920685,700.6991357485921
7.0,686.0514872840542,700.6860514872841
6.0,683.3870673296291,600.6833870673296
7.0,710.9125387573174,700.7109125387573
7.0,737.3139356,700.7373139356
7.0,697.3307041012933,700.6973307041013
6.0,636.8907832645687,600.6368907832646
7.0,644.6796984211893,700.6446796984212
7.0,707.6883238785251,700.7076883238785
5.0,569.4523856911862,500.5694523856912
6.0,678.0895300364161,600.6780895300365
7.0,718.819396900521,700.7188193969005
7.0,659.9371876574695,700.6599371876574
6.0,678.1738910274655,600.6781738910274
