num_vehicles,distance,fitness
7,842.8913236348984,700.842891323635
7,775.4480081427896,700.7754480081428
6,790.9723286405251,600.7909723286406
7,777.8264875102925,700.7778264875103
8,924.9802408425379,800.9249802408425
10,851.7837683556903,1000.8517837683557
9,998.1621175008346,900.9981621175008
8,860.4213706241425,800.8604213706242
10,957.1393644265156,1000.9571393644266
9,929.5015546958542,900.9295015546959
8,926.2443289541178,800.9262443289541
8,983.9725645909639,800.983972564591
9,851.0858589310966,900.8510858589311
9,978.1331001496068,900.9781331001496
8,855.5594392456909,800.8555594392457
9,967.2026075759452,900.9672026075759
10,1055.0577669845381,1001.0550577669845
10,950.7883041617563,1000.9507883041617
8,808.2891826419177,800.8082891826419
9,931.0397008433376,900.9310397008434
