num_vehicles,distance,fitness
7,599.946623310844,700.5999466233109
8,651.5698508560941,800.651569850856
7,598.8322205756608,700.5988322205757
7,625.2776559733787,700.6252776559734
8,651.8375071311518,800.6518375071312
9,767.3592333547606,900.7673592333548
8,624.8433843708342,800.6248433843708
7,707.4274510936698,700.7074274510936
7,663.5452490852016,700.6635452490852
9,717.2218053473255,900.7172218053473
9,783.8502510349191,900.7838502510349
9,729.7585588169911,900.729758558817
8,683.2513819255415,800.6832513819255
9,681.2436449558533,900.6812436449559
8,650.4243173811956,800.6504243173812
9,713.7448326328001,900.7137448326328
8,717.8627720408018,800.7178627720408
9,698.5540199789738,900.6985540199789
10,722.3231060559519,1000.7223231060559
8,659.8367396588195,800.6598367396588
